ERES_NAME,ERES_CODE,RESI_PLANT,RESI
pH,,,
Moisture,,,
Total Organic Carbon,,,
Arsenic,7440-38-2,37,40
Barium,,-,-
Beryllium,7440-41-7,1.7,1.7
Boron (water soluble),7440-42-8,290,11000
Cadmium,7440-43-9,22,85
Copper,7440-50-8,2400,7100
Chromium,7440-47-3,910,910
Lead,7439-92-1,200,310
Mercury,7439-97-6,1.2,1.2
Nickel,7440-02-0,180,180
Selenium,7782-49-2,250,430
Vanadium,7440-62-2,410,1200
Zinc,7440-66-6,3700,40000
Speciated PCB-WHO12,,,
PCB BZ 81,,,
PCB BZ 105,,,
PCB BZ 114,,,
PCB BZ 118,,,
PCB BZ 123,,,
PCB BZ 126,,,
PCB BZ 156,,,
PCB BZ 157,,,
PCB BZ 167,,,
PCB BZ 169,,,
PCB BZ 189,,,
PCB BZ 77,,,
Total Speciated PCB-WHO12,,,
,,,
SVOC,,,
Hexachlorobenzene,118-74-1,1800,4100
Diethyl phthalate,84-66-2,1800000,1800000
Dimethyl phthalate,131-11-3,-,-
Dibenzofuran,132-64-9,-,-
Carbazole,86-74-8,-,-
Butylbenzyl phthalate,85-68-7,42000000,42000000
Bis(2-ethylhexyl)phthalate,117-81-7,2700000,2700000
Bis(2-chloroethoxy)methane,111-91-1,-,-
Bis(2-chloroethyl)ether,111-44-4,-,-
4-Nitrophenol,100-02-7,-,-
3+4-Methylphenol,P1846,3700000,3700000
4-Chloro-3-methylphenol,59-50-7,-,-
2-Nitrophenol,88-75-5,-,-
2-Methylphenol,95-48-7,3700000,3700000
2-Chlorophenol,95-57-8,870,94000
"2,6-Dinitrotoluene",606-20-2,78000,78000
"2,4-Dinitrotoluene",121-14-2,170000,170000
"2,4-Dimethylphenol",105-67-9,210000,210000
"2,4-Dichlorophenol",120-83-2,-,-
"2,4,6-Trichlorophenol",88-06-2,-,-
"2,4,5-Trichlorophenol",95-95-4,-,-
2-Chloronaphthalene,91-58-7,3800,3800
2-Methylnaphthalene,91-57-6,-,-
Acenaphthylene,208-96-8,170000,2900000
Acenaphthene,83-32-9,210000,3000000
Anthracene,120-12-7,2400000,31000000
Benzo(a)anthracene,56-55-3,7200,11000
Benzo(b)fluoranthene,205-99-2,2600,3900
Benzo(k)fluoranthene,207-08-9,77000,110000
Benzo(a)pyrene,50-32-8,2200,3200
Benzo(ghi)perylene,191-24-2,320000,360000
Chrysene,218-01-9,15000,30000
Fluoranthene,206-44-0,280000,1500000
Fluorene,86-73-7,170000,2800000
"Indeno(1,2,3-cd)pyrene",193-39-5,27000,45000
Phenanthrene,85-01-8,95000,1300000
Pyrene,129-00-0,620000,3700000
Naphthalene,91-20-3,2300,2300
Dibenzo(ah)anthracene,53-70-3,240,310
Bis(2-chloroisopropyl)ether,39638-32-9,-,-
Phenol,108-95-2,280000,750000
Pentachlorophenol (SVOC),87-86-5,220,27000
n-Nitroso-n-dipropylamine,621-64-7,-,-
n-Dioctylphthalate,117-84-0,-,-
n-Dibutylphthalate,84-74-2,-,-
Nitrobenzene,98-95-3,-,-
Isophorone,78-59-1,-,-
Hexachloroethane,67-72-1,220,220
Hexachlorocyclopentadiene,87-68-3,-,-
Perylene,198-55-0,-,-
,,,
VOC,,,
Dichlorodifluoromethane,75-71-8,,
Chloromethane,74-87-3,8.5,8.5
Vinyl Chloride (Chloroethene),75-01-4,0.64,0.77
Bromomethane,74-83-9,-,-
Chloroethane,75-00-3,8400,8400
Trichlorofluoromethane,75-69-4,-,-
"1,1-Dichloroethene",75-35-4,230,230
Carbon Disulphide,75-15-0,140,140
Dichloromethane,75-09-2,2100,2100
"trans 1,2-Dichloroethene",156-60-5,190,190
"1,1-Dichloroethane",75-34-3,2500,2500
"cis 1,2-Dichloroethene",156-59-2,120,120
"2,2-Dichloropropane",594-20-7,-,-
Bromochloromethane,74-97-5,-,-
Chloroform,67-66-3,910,1200
"1,1,1-Trichloroethane",71-55-6,8800,9000
"1,1-Dichloropropene",563-58-6,-,-
Carbon Tetrachloride,56-23-5,26,26
"1,2-Dichloroethane",107-06-2,7.1,9.2
Benzene,71-43-2,87,380
Trichloroethene,79-01-6,1.6,1.7
"1,2-Dichloropropane",78-87-5,24,24
Dibromomethane,74-95-3,-,-
Bromodichloromethane,75-27-4,19,19
"cis 1,3-Dichloropropene",10061-01-5,-,-
Toluene,108-88-3,130000,880000
"trans 1,3-Dichloropropene",10061-02-6,-,-
"1,1,2-Trichloroethane",79-00-5,880,880
"1,3-Dichloropropane",142-28-9,-,-
Tetrachloroethene,127-18-4,180,180
Dibromochloromethane,124-48-1,-,-
"1,2-Dibromoethane",106-93-4,-,-
Chlorobenzene,108-90-7,460,460
"1,1,1,2-Tetrachloroethane",630-20-6,1200,1500
Ethylbenzene,100-41-4,47000,83000
m & p Xylene,P1374,59000,79000
o-Xylene,95-47-6,60000,88000
Styrene,100-42-5,35000,35000
Bromoform,75-25-2,5200,5200
Isopropylbenzene,98-82-8,12000,12000
"1,1,2,2-Tetrachloroethane",79-34-5,1600,3900
"1,2,3-Trichloropropane",96-18-4,-,-
Bromobenzene,108-86-1,910,910
n-Propylbenzene,103-65-1,40000,40000
2-Chlorotoluene,95-49-8,-,-
"1,3,5-Trimethylbenzene",108-67-8,-,-
4-Chlorotoluene,106-43-4,-,-
tert-Butylbenzene,98-06-6,-,-
"1,2,4-Trimethylbenzene",95-63-6,410,410
sec-Butylbenzene,135-98-8,-,-
4-Isopropyltoluene,99-87-6,-,-
"1,3-Dichlorobenzene",541-73-1,400,440
"1,4-Dichlorobenzene",106-46-7,61000,61000
n-Butylbenzene,104-51-8,-,-
"1,2-Dichlorobenzene",95-50-1,23000,24000
"1,2-Dibromo-3-chloropropane (DCBP)",96-12-8,-,-
"1,2,4-Trichlorobenzene",120-82-1,2600,2600
Hexachlorobutadiene,87-68-3,-,-
"1,2,3-Trichlorobenzene",87-61-6,1500,1500
,,,
TPH CWG,,,
Ali >C5-C6,P1407,42,42
Ali >C6-C8,P1408,100,100
Ali >C8-C10,P1409,27,27
Ali >C10-C12,P1410,130,130
Ali >C12-C16,P1411,1100,1100
Ali >C16-C21,P1412,65000,65000
Ali >C21-C35,P1413,65000,65000
Total Aliphatics,P1418,-,-
Aro >C5-C7,P1441,70,370
Aro >C7-C8,P1355,130,860
Aro >C8-C10,P1356,34,47
Aro >C10-C12,P1357,74,250
Aro >C12-C16,P1358,140,1800
Aro >C16-C21,P1359,260,1900
Aro >C21-C35,P1360,1100,1900
Total Aromatics,P1947,-,-
TPH (Ali & Aro >C5-C35),P1371,-,-
BTEX - Benzene,71-43-2,0.087,0.38
BTEX - Toluene,108-88-3,130,880
BTEX - Ethyl Benzene,100-41-4,47,83
BTEX - m & p Xylene,P1374,59,79
BTEX - o Xylene,95-47-6,60,88
MTBE,1634-04-4,-,-
