ERES_NAME,ERES_CODE,UK_DWS_WHO,EQS,SOBRA_COM
pH (w),,,,
Arsenic (dissolved),7440-38-2,10,50,
Boron (dissolved),7440-42-8,,,
Cadmium (dissolved),7440-43-9,5,,
Copper (dissolved),7440-50-8,2000,,
Chromium (dissolved),7440-47-3,50,,
Iron (dissolved),7439-89-6,200,1000,
Lead (dissolved),7439-92-1,10,,
Manganese (dissolved),7439-96-5,50,,
Mercury (dissolved),7439-97-6,1,0.7,
Nickel (dissolved),7440-02-0,20,,
Selenium (dissolved),7782-49-2,10,,
Zinc (dissolved),7440-66-6,3000,,
TPH CWG (w),,,,
Ali >C5-C6 (w),P1407,15000,,190000
Ali >C6-C8 (w),P1408,15000,,150000
Ali >C8-C10 (w),P1409,300,,5700
Ali >C10-C12 (w),P1410,300,,3600
Ali >C12-C16 (w),P1411,300,,
Ali >C16-C21 (w),P1412,,,
Ali >C21-C35 (w),P1413,,,
Total Aliphatics (w),P1418,,,
Aro >C5-C7 (w),P1441,10,,20000000
Aro >C7-C8 (w),P1355,700,,21000000
Aro >C8-C10 (w),P1356,300,,190000
Aro >C10-C12 (w),P1357,90,,660000
Aro >C12-C16 (w),P1358,90,,3700000
Aro >C16-C21 (w),P1359,90,,
Aro >C21-C35 (w),P1360,90,,
Total Aromatics (w),P1947,,,
TPH (Ali & Aro >C5-C35) (w),P1371,,,
BTEX - Benzene (w),71-43-2,1,10,20000
BTEX - Toluene (w),108-88-3,,74,21000000
BTEX - Ethyl Benzene (w),100-41-4,,,960000
BTEX - m & p Xylene (w),P1374,,30,940000
BTEX - o Xylene (w),95-47-6,,30,1100000
MTBE (w),1634-04-4,,,7800000
"2,4,5-Trichlorophenol",95-95-4,,,
"2,4,6-Trichlorophenol",88-06-2,,,
"2,4-Dichlorophenol",120-83-2,,,
"2,4-Dimethylphenol",105-67-9,,,
"2,4-Dinitrotoluene",121-14-2,,,
"2,6-Dinitrotoluene",606-20-2,,,
2-Chloronaphthalene,91-58-7,,,
2-Chlorophenol,95-57-8,,,
2-Methylnaphthalene,91-57-6,,,
2-Methylphenol,95-48-7,,,
2-Nitrophenol,88-75-5,,,
4-Bromophenyl phenyl ether,101-55-3,,,
4-Chloro-3-methylphenol,59-50-7,,,
Bis(2-chloroisopropyl)ether,,,,
3+4-Methylphenol,,,,
4-Nitrophenol,,,,
Acenaphthene,83-32-9,,,15000000
Acenaphthylene,208-96-8,,,20000000
Anthracene,,,,
Bis(2-chloroethyl)ether,,,,
